"time","Graph 0",
2024-08-27T06:08:00.965Z,10011000.000000,
2024-08-27T06:08:00.997Z,10011100.000000,
2024-08-27T06:08:01.032Z,10101000.000000,
2024-08-27T06:08:01.064Z,10111100.000000,
2024-08-27T06:08:01.097Z,11111111.000000,
2024-08-27T06:08:01.131Z,11001100.000000,
2024-08-27T06:08:01.167Z,11011000.000000,
2024-08-27T06:08:01.200Z,11101000.000000,
2024-08-27T06:08:01.234Z,11011000.000000,
2024-08-27T06:08:01.268Z,11101000.000000,
2024-08-27T06:08:01.313Z,11111100.000000,
2024-08-27T06:08:01.353Z,11111111.000000,
2024-08-27T06:08:01.386Z,11111100.000000,
2024-08-27T06:08:01.418Z,11111111.000000,
2024-08-27T06:08:01.451Z,10001100.000000,
2024-08-27T06:08:01.484Z,10011000.000000,
2024-08-27T06:08:01.515Z,10101000.000000,
2024-08-27T06:08:01.546Z,10111111.000000,
2024-08-27T06:08:01.582Z,10111100.000000,
2024-08-27T06:08:01.620Z,11001000.000000,
2024-08-27T06:08:01.657Z,11011000.000000,
2024-08-27T06:08:01.691Z,11101100.000000,
2024-08-27T06:08:01.728Z,11111111.000000,
2024-08-27T06:08:01.763Z,11011000.000000,
2024-08-27T06:08:01.800Z,11101000.000000,
2024-08-27T06:08:01.839Z,11111000.000000,
2024-08-27T06:08:01.876Z,11101100.000000,
2024-08-27T06:08:01.913Z,11101100.000000,
2024-08-27T06:08:01.949Z,11111000.000000,
2024-08-27T06:08:01.984Z,10001000.000000,
2024-08-27T06:08:02.019Z,10011100.000000,
2024-08-27T06:08:02.054Z,10011100.000000,
2024-08-27T06:08:02.089Z,10101000.000000,
2024-08-27T06:08:02.125Z,10111100.000000,
2024-08-27T06:08:02.158Z,10111110.000000,
2024-08-27T06:08:02.192Z,11001000.000000,
2024-08-27T06:08:02.225Z,11011100.000000,
2024-08-27T06:08:02.258Z,11011100.000000,
2024-08-27T06:08:02.292Z,11101000.000000,
2024-08-27T06:08:02.329Z,11011100.000000,
2024-08-27T06:08:02.364Z,11011100.000000,
2024-08-27T06:08:02.399Z,11101000.000000,
2024-08-27T06:08:02.433Z,11111111.000000,
2024-08-27T06:08:02.466Z,11111000.000000,
2024-08-27T06:08:02.500Z,11101000.000000,
2024-08-27T06:08:02.534Z,11101100.000000,
2024-08-27T06:08:02.567Z,11111000.000000,
2024-08-27T06:08:02.604Z,11111111.000000,
2024-08-27T06:08:02.638Z,10001000.000000,
2024-08-27T06:08:02.672Z,10011100.000000,
2024-08-27T06:08:02.706Z,10011000.000000,
2024-08-27T06:08:02.743Z,10101000.000000,
2024-08-27T06:08:02.778Z,10101100.000000,
2024-08-27T06:08:02.811Z,10111000.000000,
2024-08-27T06:08:02.850Z,11111111.000000,
2024-08-27T06:08:02.885Z,11001000.000000,
2024-08-27T06:08:02.920Z,11011110.000000,
2024-08-27T06:08:02.956Z,11011000.000000,
2024-08-27T06:08:02.990Z,11101100.000000,
2024-08-27T06:08:03.023Z,11101000.000000,
2024-08-27T06:08:03.058Z,11011100.000000,
2024-08-27T06:08:03.092Z,11011000.000000,
2024-08-27T06:08:03.125Z,11101100.000000,
2024-08-27T06:08:03.157Z,11101000.000000,
2024-08-27T06:08:03.188Z,11111110.000000,
2024-08-27T06:08:03.221Z,11111000.000000,
2024-08-27T06:08:03.254Z,11111110.000000,
2024-08-27T06:08:03.288Z,11101000.000000,
2024-08-27T06:08:03.324Z,11101100.000000,
2024-08-27T06:08:03.356Z,11111100.000000,
2024-08-27T06:08:03.386Z,11111000.000000,
2024-08-27T06:08:03.419Z,11111111.000000,
2024-08-27T06:08:03.451Z,10001000.000000,
2024-08-27T06:08:03.484Z,11111111.000000,
2024-08-27T06:08:03.518Z,10011111.000000,
2024-08-27T06:08:03.552Z,10101100.000000,
2024-08-27T06:08:03.586Z,10111100.000000,
2024-08-27T06:08:03.622Z,11001100.000000,
2024-08-27T06:08:03.656Z,11011100.000000,
2024-08-27T06:08:03.689Z,11101100.000000,
2024-08-27T06:08:03.720Z,11011100.000000,
2024-08-27T06:08:03.752Z,11101000.000000,
2024-08-27T06:08:03.786Z,11111000.000000,
2024-08-27T06:08:03.822Z,11101000.000000,
2024-08-27T06:08:03.855Z,11111000.000000,
2024-08-27T06:08:03.888Z,10001000.000000,
2024-08-27T06:08:03.921Z,10011100.000000,
2024-08-27T06:08:03.957Z,10101111.000000,
2024-08-27T06:08:03.990Z,11111111.000000,
2024-08-27T06:08:04.023Z,10111100.000000,
2024-08-27T06:08:04.056Z,11001000.000000,
2024-08-27T06:08:04.089Z,11011000.000000,
2024-08-27T06:08:04.124Z,11101000.000000,
2024-08-27T06:08:04.157Z,11011100.000000,
2024-08-27T06:08:04.189Z,11101100.000000,
2024-08-27T06:08:04.223Z,11101110.000000,
2024-08-27T06:08:04.256Z,11111000.000000,
2024-08-27T06:08:04.288Z,11101000.000000,
2024-08-27T06:08:04.323Z,11111000.000000,
2024-08-27T06:08:04.358Z,10001100.000000,
2024-08-27T06:08:04.391Z,10001100.000000,
2024-08-27T06:08:04.424Z,10011000.000000,
2024-08-27T06:08:04.458Z,10101000.000000,
2024-08-27T06:08:04.492Z,10111100.000000,
2024-08-27T06:08:04.526Z,11111111.000000,
2024-08-27T06:08:04.560Z,11001100.000000,
2024-08-27T06:08:04.594Z,11011000.000000,
2024-08-27T06:08:04.631Z,11101000.000000,
2024-08-27T06:08:04.665Z,11011100.000000,
2024-08-27T06:08:04.700Z,11011100.000000,
2024-08-27T06:08:04.733Z,11101000.000000,
2024-08-27T06:08:04.770Z,11111000.000000,
2024-08-27T06:08:04.804Z,11111111.000000,
2024-08-27T06:08:04.840Z,11101100.000000,
2024-08-27T06:08:04.875Z,11111000.000000,
2024-08-27T06:08:04.908Z,10001100.000000,
2024-08-27T06:08:04.942Z,10001111.000000,
2024-08-27T06:08:04.975Z,10011000.000000,
2024-08-27T06:08:05.008Z,10101000.000000,
2024-08-27T06:08:05.041Z,10101100.000000,
2024-08-27T06:08:05.077Z,10111000.000000,
2024-08-27T06:08:05.111Z,11001100.000000,
2024-08-27T06:08:05.145Z,11001100.000000,
2024-08-27T06:08:05.181Z,11011000.000000,
2024-08-27T06:08:05.218Z,11101100.000000,
2024-08-27T06:08:05.255Z,11101100.000000,
2024-08-27T06:08:05.293Z,11011000.000000,
2024-08-27T06:08:05.332Z,11101100.000000,
2024-08-27T06:08:05.370Z,11101100.000000,
2024-08-27T06:08:05.405Z,11111000.000000,
2024-08-27T06:08:05.439Z,11101100.000000,
2024-08-27T06:08:05.474Z,11101100.000000,
2024-08-27T06:08:05.507Z,11111000.000000,
2024-08-27T06:08:05.541Z,11111100.000000,
2024-08-27T06:08:05.576Z,10001000.000000,
2024-08-27T06:08:05.618Z,11111111.000000,
2024-08-27T06:08:05.661Z,10011000.000000,
2024-08-27T06:08:05.704Z,10101100.000000,
2024-08-27T06:08:05.741Z,10101110.000000,
2024-08-27T06:08:05.778Z,10111000.000000,
2024-08-27T06:08:05.814Z,11001100.000000,
2024-08-27T06:08:05.854Z,11001000.000000,
2024-08-27T06:08:05.889Z,11011000.000000,
2024-08-27T06:08:05.922Z,11011100.000000,
2024-08-27T06:08:05.956Z,11101000.000000,
2024-08-27T06:08:05.989Z,11101100.000000,
2024-08-27T06:08:06.023Z,11011000.000000,
2024-08-27T06:08:06.058Z,11011100.000000,
2024-08-27T06:08:06.093Z,11101100.000000,
2024-08-27T06:08:06.128Z,11101000.000000,
2024-08-27T06:08:06.163Z,11111100.000000,
2024-08-27T06:08:06.199Z,11111000.000000,
2024-08-27T06:08:06.235Z,11101100.000000,
2024-08-27T06:08:06.270Z,11101000.000000,
2024-08-27T06:08:06.305Z,11111111.000000,
2024-08-27T06:08:06.342Z,11111000.000000,
2024-08-27T06:08:06.378Z,11111111.000000,
2024-08-27T06:08:06.414Z,10001000.000000,
2024-08-27T06:08:06.450Z,10001100.000000,
2024-08-27T06:08:06.486Z,10011100.000000,
2024-08-27T06:08:06.521Z,10011000.000000,
2024-08-27T06:08:06.555Z,10101110.000000,
2024-08-27T06:08:06.591Z,10101000.000000,
2024-08-27T06:08:06.628Z,10101100.000000,
2024-08-27T06:08:06.663Z,10111000.000000,
2024-08-27T06:08:06.700Z,10111000.000000,
2024-08-27T06:08:06.737Z,11001100.000000,
2024-08-27T06:08:06.776Z,11001000.000000,
2024-08-27T06:08:06.816Z,11001100.000000,
2024-08-27T06:08:06.853Z,11011000.000000,
2024-08-27T06:08:06.888Z,11011000.000000,
2024-08-27T06:08:06.924Z,11101110.000000,
